source,target
Autodesk Education Suite for Industrial Design,Autodesk Education Suite für Industriedesign
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite für Mechanik und Maschinenbau
Autodesk Employee Purchase Program,Mitarbeiter-Rabattprogramm von Autodesk
Autodesk Engineer-to-Order Services,Autodesk Engineer-to-Order (ETO) Services
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk Flex,Autodesk Flex
Autodesk flex token,Autodesk-Flex-Token
Autodesk FLUX Design Competition,Autodesk FLUX Design Competition
Autodesk forum,Autodesk-Forum
Autodesk Gallery,Autodesk-Galerie
Autodesk Gold partner,Autodesk Gold Partner
Autodesk ID,Autodesk-ID
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
Autodesk Infrastructure Solutions,Autodesk-Lösungen für Infrastrukturprojekte
Autodesk Inside Sales Team,Autodesk Inside Sales Team
Autodesk Insight,Autodesk Insight
Autodesk Installation Help,Autodesk-Installationshilfe
Autodesk Inventor 2019 Add-In,Autodesk Inventor 2019 Add-In
Autodesk Inventor LT 2019 Add-In,Autodesk Inventor LT 2019 Add-In
Autodesk Inventor Mentor,Autodesk Inventor Mentor
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Job Processor,Autodesk Job Processor
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Autodesk LaunchPad
Autodesk Learning and Education,Aus- und Weiterbildungsprogramm von Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,Autodesk Legacy-Programm
Autodesk License Compliance Team,Autodesk License Compliance Team
Autodesk License Manager,Autodesk Licensing Manager (AdLM)
Autodesk Live,Autodesk Live
Autodesk Live Chat,Live-Chat von Autodesk
Autodesk Manufacturing Community Portal,Autodesk Manufacturing Community Portal
Autodesk Manufacturing Team,Autodesk Manufacturing Team
Autodesk MasterClasses,Autodesk MasterClasses
Autodesk Masters award,Autodesk Masters Awards
Autodesk Masters Program,Autodesk Masters Program
