source,target
deliverable,szállítandó tétel
demand generation,igénygenerálás
demo,bemutató
demo video,bemutató videó
demo vignette,bemutatandó funkciók
Demonstration,bemutató
deploy,telepít
deployment,telepítés
design automation strategy,tervezésautomatizálási stratégia
Design Basics Curriculum,Alapvető tervezési oktatóanyag
design charrette,tervezési gyűlés
design firm,tervezőcég
design for assembly,szerelésre tervezés
design innovation,tervezési innováció
design intent,tervezői szándék
Design Process Review,tervezési folyamat áttekintése
design validation,tervellenőrzés
design visualization,látványtervezés
designer,tervező
Designers Accord,Designers Accord
detailer,kirészletező
detention area,tárolási terület
development partner,fejlesztőpartner
Digital Asset Management,digitális eszközkezelés
digital entertainment creation,digitális szórakoztatóipar
digital modeling,digitális modellezés
digital prototyping,digitális prototípus-készítés
Digital Prototyping Days,digitális prototípus-készítési napok
digital visual interface,"digitális, vizuális felület"
direct partner,közvetlen partner
Direct Value Added Reseller,közvetlen értéknövelt forgalmazó
director of strategic research,stratégiai kutatási igazgató
discussion forum,vitafórum
discussion group,vitacsoport
displacement mapping,elmozdulásleképezés
distributed control system,elosztott vezérlőrendszer
distributed license server,elosztott licenckiszolgáló
documentation,dokumentáció
DPR,DPR
drafter,tervező
Dropbox,Dropbox
duct,vezeték
DVAR,DVAR
DWG Extreme,DWG Extreme
DWGX,DWGX
Eagle,Eagle
earlier version,korábbi verzió
eBook,e-könyv
e-book,e-könyv
eco design,ökotervezés
EDT,EDT
Education reseller,oktatási forgalmazó
Education Version,oktatási verzió
educational version,oktatási verzió
eLearning,e-Learning
e-Learning,e-Learning
eLearning Catalog,e-Learning katalógus
e-Learning Catalog,e-Learning katalógus
electronic software distribution,elektronikus szoftverszállítás
eligibility matrix,jogosultsági táblázat
eligible,jogosult
eligible product,jogosult termék
EMC Tier 5 system,EMC Tier 5 rendszer
EMS,EMS
end user,végfelhasználó
end-user,végfelhasználó
energy efficiency,energiahatékonyság
energy generation,energiatermelés
energy load,energiaterhelés
energy retrofit,energiamegtakarítással kapcsolatos átalakítás
energy savings performance contract,energiamegtakarítási megállapodás
energy service company,energiaszolgáltató vállalat
Energy Star,Energy Star
energy use intensity,energiahasználat intenzitása
eNewsletter,elektronikus hírlevél
engineer,mérnök
engineering data,műszaki adatok
Engineering Exploration Workshop,mérnöki bemutató
Engineer-to-Order,rendelésre tervezés
Engineer-to-Order Adoption and Change Management Services,rendelésre tervezés bevezetési és változáskezelési szolgáltatásai
Enhanced KB,Továbbfejlesztett tudásbázis
entitlement,jogosultság
entitlement certificate,jogosultságtanúsítvány
environment,környezet
Environmental Design and Technology Curriculum,környezettervezési és technológiai oktatóanyag
environmental impact statement,környezetvédelmi hatástanulmány
environmental management system,környezetközpontú irányítási rendszer
ESCO,ESCO
ESD,ESD
ESPC,ESPC
ETO,ETO
EUI,EUI
Event Publisher,Esemény-közzétevő
event toolkit,esemény eszközkészlete
Events Lookup,Események keresése
Executive Vice President of Sales and Services,értékesítési és szolgáltatási ügyvezető alelnök
explicit control,közvetlen vezérlés
Express Service ID,expressz szolgáltatásazonosító
Extended Support Hours,Kibővített Támogatási Órák
Extra Territory Rights,További területi jogok
fabrication,gyártás
Facebook,Facebook
facilities management,létesítménykezelés
factory layout,üzemelrendezés
FAQ,GYIK
FAQs,GYIK
FBIK,FBIK
FCS,FCS
Feature Comparison,szolgáltatások összehasonlítása
feature demonstration,szolgáltatások bemutatása
Feature Demos,Szolgáltatások bemutatása
feature set,szolgáltatáskészlet
Features,Szolgáltatások
Features and Benefits,Jellemzők és előnyök
Features and Demonstrations,Jellemzők és bemutatók
Features and Functions,Jellemzők és funkciók
Features and Specifications,Szolgáltatások és meghatározások
FEED,FEED
fidelity,részletesség
field management,helyszíni felügyelet
field marketing,helyszíni marketing
file vaulting,fájltárolás
filling plant,töltőüzem
film & TV,film és tv
"film, games and television","filmek, játékok és televíziós műsorok"
financing,finanszírozás
fire protection,tűzvédelem
firmware,firmware
first customer shipment,első vevői szállítmány
flange,perem
Flex token,Flex-token
"flexibility, customizable based on need, scalability","rugalmasság, igény szerint testreszabható, méretezhetőség"
flexible license terms,rugalmas licencfeltételek
flexible licensing rights,rugalmas licencjogosultságok
flexible licensing terms,rugalmas licencfeltételek
Flickr,Flickr
floating window,lebegő ablak
fly-out,leporelló
Follow Autodesk,Autodesk követése
FoMT,FoMT
free student software,ingyenes szoftver diákok számára
Free Trial,Ingyenes próbaverzió
free trial version,ingyenes próbaverzió
frequently asked questions,gyakran ismétlődő kérdések
front-end engineering design,előzetes mérnöki tervezés
full system commercial,teljes kereskedelmi
functionality matrix,funkciók táblázata
fund management,alapkezelés
fund request,alapigénylés
Fundamentals of Architectural Science Supplement Curriculum,alapvető építészeti tudományos oktatóanyag
gallery,Galéria
GD&T symbol,rajzjel
generative design,generatív tervezés
genuine AutoCAD,eredeti AutoCAD
geographical information system,térinformatikai rendszer
geometric dimensioning and tolerancing symbol,alak- és helyzettűrésezési jel
geospatial,térinformatikai
geotechnical,geotechnikai
GEP,GEP
GF,GF
GIS,GIS
GIS integration,GIS-integráció
global channel branding program,globális értékesítési márkaprogram
global channel co-branding program,globális értékesítési közös márkahasználati program
global field promotion,globális helyszíni promóció
global product launch,globális termékbemutató
Global Travel Rights,Globális utazási jogok
GPU,GPU
graphics processing unit,grafikus processzor
gray-boxing,szürke doboz
Green Literacy and Architectural Design Curriculum,zöldépítészeti oktatóanyag
Growth Funds,növekedési alapok
guidance,iránymutatás
"Guide to Sustainable Design for Architecture, Engineering, and Construction",Útmutató a fenntartható építőiparhoz
hard bundle,kötelező csomag
hardscape,épített felszín
hardware-agnostic shader,hardverfüggetlen árnyaló
hashtag,hashtag
Have a Reseller Contact Me,Lépjen kapcsolatba velem egy forgalmazó
HDRI,HDRI
head loss,veszteségmagasság
headshot,portré
Heads-up Design,Heads-up Design
health check,állapotellenőrzés
"heating, ventilation and air conditioning",fűtés és légtechnika
hero image,főkép
hero product,főtermék
high dynamic range imaging,magas dinamikus tartományú képalkotás
high speed machining,gyors megmunkálás
high-level shader language,magas szintű árnyalási nyelv
high-pressure loss area,nagy nyomásveszteségű terület
HLSL,HLSL
hobbing machine,fogazógép
holidays,munkaszüneti napok
home page,kezdőlap
Home Premium,Home Premium
Home Use,Otthoni használat
Home Use Rights,Otthoni használatot biztosító jogok
homepage,kezdőlap
honing machine,hónológép
horizontal ribbon,vízszintes szalag
Hot Fix,Hot Fix
Hotfix,Hotfix
HSM,HSM
hyperthreading,többszálas feldolgozás
IAQ,beltéri levegőminőség
IC,IC
i-drop,i-drop
IFC,IFC
imagery,kép
incident,esemény
incremental product enhancement,növekményes termékfejlesztés
independent software vendor,független szoftverszállító
Indie game maker,független játékfejlesztő
indirect partner,közvetett partner
indirect value added reseller,közvetett értéknövelt forgalmazó
individual product,önálló termék
indoor air quality,beltéri levegőminőség
industrial design,ipari tervezés
Industrial Design and Visualization Specialization,ipariforma-tervezési és látványtervezési specializáció
industrial designer,ipariforma-tervező
industrial machinery,ipari gépek
Industries,Iparágak
Industry News,Iparági hírek
Industry Trends,Iparági trendek
InfoCenter,Infoközpont
infrastructure planning,infrastruktúra-tervezés
Infrastructure Solutions Division,infrastruktúra-megoldásokért felelős osztály
in-product subscription access,terméken belüli előfizetői hozzáférés
install guide,telepítési útmutató
Install Now Help,Telepítés most súgó
Installation and Licensing Help,telepítési és licenckezelési súgó
installation guide,telepítési útmutató
Installation Help,Telepítési súgó
installation wizard,Telepítési varázsló
Instructables,Instructables
instructor guide,oktatói útmutató
integrated project delivery,integrált projektszállítás
Interactive Overview,interaktív áttekintés
interactive PDF,interaktív PDF
inter-disciplinary check,több szakágra kiterjedő ellenőrzés
International Organization for Standardization,Nemzetközi Szabványügyi Szervezet (ISO)
Internet,internet
interoperability,együttműködési képesség
Inventor Education Curriculum,Inventor-oktatóanyag
Investor Relations,Befektetői kapcsolatok
IPD,IPD
ISV,ISV
item numbering,tételszámozás
IVAR,IVAR
Job Search,Álláskeresés
Keep Me Signed In,Maradjak bejelentkezve
Key Benefits,A legfontosabb előnyök
Key Features,A legfontosabb jellemzők
Key Message,Fő üzenet
key performance indicator,fő teljesítménymutató
key selling point,legfontosabb értékesítési tényező
kicker text,bevezető
Knowledge Base,Tudásbázis
Knowledge Network,Knowledge Network
KPI,KPI
label,címke
land recycling,talaj-újrafelhasználás
landing page,kezdőoldal
language exchange,Nyelv cseréje
Late Attach,Későbbi hozzákapcsolás
late processing fee,késedelmi díj
late renewal,késedelmes megújítás
latest versions/releases,legfrissebb verziók/kiadások
launch event,bemutató esemény
LCA,LCA
Leadership in Energy and Environmental Design Green Building Rating System,LEED környezettudatos épülettervezési értékelő rendszer
lean construction,lean kivitelezés
Learning Materials,Oktatóanyagok
LEED,LEED
Legal Notice,Jogi nyilatkozat
Legal Notices & Trademarks,Jogi nyilatkozatok és védjegyek
Less is more,A kevesebb több
license agreement,licencszerződés
license borrowing,licenckölcsönzés
license compliance,licencmegfelelőség
license management tool,licenckezelési eszköz
License Transfer utility,Licencátviteli segédprogram
life cycle assessment,életciklus-értékelés
lifecycle assessment,életciklus-értékelés
limited time offer,korlátozott ajánlat
linearity,linearitás
Local Business Hours,Helyi Munkaidő
local coordinates,helyi koordináták
logo,logó
logotype,logószöveg
M&E,M&E
mail-in rebate,beküldéses visszatérítés
maintenance plan,Maintenance Plan követés
maintenance plan contract,Maintenance Plan követési szerződés
maintenance plan customer,Maintenance Plan követéssel rendelkező ügyfél
major account,kiemelt ügyfél
major account discount,Kiemeltügyfél-kedvezmény
maker,mester
Makers & indie designers,Mesterek és független tervezők
manual renewal,kézi megújítás
manufacturer retail price,gyártói kiskereskedelmi ár
manufacturer suggested retail price,gyártó által javasolt kiskereskedelmi ár
manufacturing,gépipar
Manufacturing Solutions Division,gépipari megoldásokért felelős részlet
manufacturing supply chain,gépipari beszállítói lánc
market development fund,piacfejlesztési alap
marketing,marketing
Marketing Development Fund,marketingfejlesztési alap
Marketing Director,marketingigazgató
marketing qualified lead,marketingminősítésű lead
master services agreement,fő szolgáltatási megállapodás
Material Library,Anyagtár
MDF,MDF
measuring tool,mérőeszköz
mechanical engineering,gépészmérnöki tevékenység
Media & Entertainment,Média- és szórakoztatóipar
Media & Entertainment Collection,Media & Entertainment Collection
Media & Entertainment Training Videos,média- és szórakoztatóipari oktatóvideók
Media Relations,médiakapcsolat
MEP engineer,épületgépész mérnök
MFG,MFG
MIR,MIR
Mobile Site,mobilra optimalizált webhely
modular design,moduláris tervezés
MQL,MQL
MSA,MSA
MSRP,MSRP
MUI,MUI
multidiscipline coordination,szakágak közötti koordináció
multi-seat license,többmunkahelyes licenc
multi-seat stand-alone license,többmunkahelyes különálló licenc
multi-user,többfelhasználós
multi-user access,többfelhasználós hozzáférés
multi-user license,többfelhasználós licenc
multi-year,többéves
multi-year subscription contract,többéves előfizetési szerződés
My Account,Saját fiók
My Insights,Betekintés
My Products,Saját termékek
My Profile,Saját profil
named account,megnevezett fiók
named caller,meghatározott hívó
named user,megnevezett felhasználó
NAS,NAS
NC programming,NC-programozás
NDA,NDA
Net Promoter Score,nettó ajánlási pontszám
network license,hálózati licenc
Network License Manager,Network License Manager licenckezelő
New Product Introduction,új termék bevezetése
"new releases, latest software/enhancements","új kiadások, legújabb szoftverek/fejlesztések"
Newsroom,Hírek
NFR,NFR
NLM,NLM
non-current customer,nem aktuális ügyfél
non-current license,nem aktuális licenc
non-current user,nem aktuális felhasználó
non-disclosure agreement,titoktartási szerződés
Now you can pay as you go,Már használat alapján is fizethet
NPI,NPI
NPS,NPS
object enabler,objektumengedélyező
object rollover tooltip,objektumok érintéses eszköztippjei
Objection Handling Guide,ellenérvek kezelését ismertető útmutató
oil & gas,olaj és gáz
oil & gas industry,olaj- és gázipar
onboarding,betanítás
One Team 360,One Team 360
One Team Conference,One Team konferencia
one-to-one support,személyes támogatás
opportunity management,lehetőségkezelés
order confirmation email message,rendelés-visszaigazolási üzenet
ordinate,koordináta
organic form,organikus forma
orientation,tájolás
outage management system,szolgáltatáskiesés-kezelő rendszer
out-of-process,folyamaton kívüli
Overview,Áttekintés
overview brochure,áttekintő prospektus
overview video,áttekintő videó
packaging design,csomagolástervezés
paid search,fizetett keresés
panel arrow,panel nyíl
parametric,parametrikus
Partner Advantage Program Guide,partnerelőny program útmutatója
Partner Center,Partnerközpont
Partner Center Helpdesk,partnerközpont ügyfélszolgálata
partner event,partneresemény
Partner Locator,Partnerkereső
Partner Products and Services,Partnerek termékei és szolgáltatásai
passive solar construction,passzív napenergiás konstrukció
Path to Volume,Path to Volume mennyiségnövelő program
pay as you go,fizetés használat alapján
payback,visszatérítés
PDM,PDM
Performance Recommendations,Teljesítménnyel kapcsolatos ajánlások
perpetual license,állandó licenc
perpetual licensing,állandó licenc
persistent product description,állandó termékleírás
personal access URL,személyes hozzáférési URL
phone support,telefonos támogatás
photo collection,fotógyűjtemény
pipeline,folyamat
piping,csövezés
Piracy Prevention,Szoftverkalózkodás megelőzése
pirated,illegális
planning professional,tervezési szakember
Platform Technology Division,platformtechnológiákért felelős részleg
PLM,PLM
PLM TV,PLM TV
plug-in,beépülő modul
podcast,podcast
point cloud,Pontfelhő
Policies & Forms,Szabályzatok és űrlapok
pop-up booth,könnyen felállítható stand
Portable License Utility,Hordozható licenc eszköz
Pre-Architecture Curriculum,építészeti előzetes tananyag
precast component,előre gyártott elem
preconstruction,kivitelezés előtti
Preferred Plus Plan,Ajánlott Plusz csomag
preliminary analysis,előzetes elemzés
Pre-Release Products Agreement,kiadás előtti termékekre vonatkozó megállapodás
pre-release trial,kiadás előtti próbaverzió
pre-requisite,előfeltétel
president and CEO,elnök-vezérigazgató
press release,sajtóközlemény
Preview Guide,előzetes útmutató
Previous Version Eligibility List,előző verziók használati jogát tartalmazó lista
Previous Version Eligible Product List,Jogosult termékek listája a korábbi verziók használatának jogához
Previous Version Rights,Korábbi verziók használatának joga
Previous Versions,korábbi verziók
primary license,elsődleges licenc
Privacy Statement,Adatkezelési nyilatkozat
process management,folyamattervezés
process manufacturing,gyártási folyamat
procurement,beszerzés
product brochure,termékismertető
product center,termékközpont
Product Data Management,termékadat-kezelés
product description,termékleírás
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
Product Details,Információ a termékről
product development,termékfejlesztés
product enhancement,termékfejlesztés
product extension,termékkiegészítés
product family,termékcsalád
Product Information,Termékinformáció
product key,termékkulcs
product lifecycle management,termékéletciklus-kezelés
product line,termékcsalád
product overview,termékáttekintés
Product Resources,termékhez kapcsolódó források
product suite,termékcsomag
Product Summary,Termékösszegzés
Product Support,Terméktámogatás
product support specialist,terméktámogatási munkatárs
Product Trial,Próbaverzió
product upgrade,termékfrissítés
productivity study,hatékonysági tanulmány
Professional Plan,Szakmai csomag
Professional Services,professzionális szolgáltatások
promo box,promóciós mező
promobox,promóciós mező
Promotions,Promóciók
Promotions & Campaigns,Promóciók és kampányok
Promotions & Special Offers,Promóciók és különleges ajánlatok
Proof Points,Előnyök
PSP,PSP
PTV,PTV
Publisher 360,Publisher 360
publisher corner,közzétevői sarok
pull-up banner,felhúzható szalaghirdetés
