source,target
clean uninstall,limpar desinstalação
Client Relations Team,equipe de relacionamento com clientes
clip plane,plano de recorte
clipping boundary,limite de recorte
closed end,extremidade fechada
cloud credits,créditos de nuvem
cloud credits allocation,alocação de créditos de nuvem
cloud services,serviços em nuvem
cloud storage,armazenamento na nuvem
cloud unit,unidade de nuvem
coarse,grosso
co-branding,associação de marcas
Co-branding Assets & Templates,Recursos e modelos de associações de marca
codec,codec
coefficient of performance,coeficiente de desempenho
Collaboration and Data Management Implementation Services,Serviços de implementação de gerenciamento de dados e colaboração
Collaboration and Data Management Strategy Services,Serviços de estratégia de gerenciamento de dados e colaboração
color-dependent plot style table,tabela de estilo de plotagem dependente de cor
command prompt,prompt do comando
commercial license,licença comercial
Commercial New,Commercial New
Communication Center,Centro de comunicações
communication failure,falha de comunicação
communication hub,hub de comunicação
Community Relations,Relações com a comunidade
companion product,produto complementar
Company Address or Name Change,Alteração de endereço ou nome da empresa
Compare,Comparar
compass,bússola
compatibility chart,gráfico de compatibilidade
compatibility matrix,matriz de compatibilidade
Competitive Intelligence,Competitive Intelligence
complaint,reclamação
comprehensive exam guide,guia abrangente do exame
computer aided design,projeto assistido por computador
computer aided engineering,engenharia assistida por computador
computer aided manufacturing,fabricação assistida por computador
computer-aided design,projeto assistido por computador
computer-aided engineering,engenharia assistida por computador
computer-aided manufacturing,fabricação assistida por computador
concave,côncavo
concept sketch,esboço conceitual
Conceptual Design Curriculum,Currículo de Projeto Conceitual
concurrent users,usuários simultâneos
confidentiality,confidencialidade
conflict of interest,conflito de interesses
construction documentation,documentação da construção
construction management,gerenciamento de construções
construction manager,gerente de obras
construction professional,profissional de construção
consultant,consultor
consulting service order licensing implementation,implementação do licenciamento com base em pedidos de serviços de consultoria
consulting system integrator partner,Programa de parceiros Consulting System Integrator
consumable,consumível
consumer product,produto de consumo
consumer product manufacturer,fabricantes de produtos de consumo
consumption,consumo
contact ID,ID de contato
content source,origem de conteúdo
contextual tab,guia contextual
continuing education credit,crédito de educação continuada
Contract Administration,Administração de contratos
Contract Administrator,Administrator do software
contract level,nível do contrato
Contract Manager,Gerente de contratos
contract renewal date,data de renovação do contrato
contractor,contratados
controller cap,cápsula de controle
coordinate space,espaço de coordenadas
copy block,bloco de texto
copy deck,copy deck
Core features include,Os principais recursos incluem
counterfeit,pirateado
Country Marketing Manager,Gerente de marketing do país
Country Sales Manager,Gerente de vendas do país
coverage report,relatório de cobertura
CPM,CPM
Creative Commons,Creative Commons
CRM,CRM
crossgrade,migração
cross-grade,migração
CSAT,CSAT
CSI,CSI
CTA,CTA
CTB,CTB
CTO,CTO
cuboid,cubo
Curricula,currículos educacionais
Customer Care,Atendimento ao cliente
Customer Gallery,Galeria do cliente
Customer Involvement Program,Programa de participação do cliente
customer relationship management,Gestão de relacionamento com o cliente
Customer Reviews,Análises de clientes
Customer Showcase,Clientes em destaque
Customer Stories,Histórias de clientes
Customer Success Stories,Histórias de sucesso de clientes
customer with a maintenance plan,cliente com um plano de manutenção
cut plane,plano de corte
CVC,CVC
daemon,daemon
DAM,DAM
data acquisition,aquisição de dados
data center,data center
data fitting,conexão de dados
data portability,portabilidade de dados
data protection,proteção de dados
data silo,silo de dados
DCS,DCS
Dear Customer,Prezado cliente
decision support tool,ferramenta de suporte à decisão
defense,defesa
defun,defun
deliverable,produto
demand generation,geração de demanda
demo,demonstração
demo video,vídeo de demonstração
demo vignette,vinheta demo
Demonstration,Demonstração
deploy,implementar
deployment,implantação
Design Academy,Design Academy
design automation strategy,estratégia de automação de projeto
Design Basics Curriculum,currículo educacional do curso com noções básicas da criação de projetos
design charrette,discussão
design firm,empresa de projeto
design for assembly,projeto para montagem fácil
design innovation,inovação em projetos
design intent,ideia do projeto
Design Process Review,Design Process Review
design validation,validação do projeto
design visualization,visualização de projetos
designer,projetista
Designers Accord,Designers Accord
detailer,detalhador
detention area,área de detenção
development partner,parceiro de desenvolvimento
diffusion coefficient,coeficiente de difusão
Digital Asset Management,Gerenciamento de recursos digitais
digital entertainment creation,criação de entretenimento digital
digital modeling,modelagem digital
Digital Prototyping Days,Dias de prototipagem digital
digital visual interface,Interface visual digital
Dimension Style Manager,Gerenciador de estilos de cota
direct partner,parceiro direto
Direct Value Added Reseller,Revendedor de valor agregado direto
director of strategic research,diretor de pesquisa estratégica
disciplinary action,ação disciplinar
discounted price,preço com desconto
discounted pricing,preço com desconto
discussion forum,fórum de discussão
discussion group,grupo de discussão
displacement mapping,mapeamento deslocamento
display card,placa de vídeo
distributed control system,sistema de controle distribuído
distributed license server,servidor de licenças distribuído
documentation,documentação
download method,método de download
Download Now method,método Faça o Download Agora
DPR,DPR
draft mode,modo de rascunho
drafter,desenhista
Drawing Recovery Manager,Gerenciador de recuperação de desenho
Dropbox,Dropbox
duct,duto
DVAR,DVAR
DVI,DVI
DWG Extreme,DWG Extreme
DWGX,DWGX
Dynamic Switchable Graphics,Dynamic Switchable Graphics
Eagle,Eagle
earlier version,versão anterior
eBook,e-book
e-book,e-book
eco design,projeto ecológico
EDT,EDT
Education Community,Education Community
Education customer,cliente do setor educacional
Education reseller,Revendedor Autorizado de Produtos Educacionais
Education Version,Versão educacional
educational institution,instituição educacional
educational plot stamp,marca de plotagem educacional
educational version,versão educacional
educator,educador
eLearning,e-Learning
e-Learning,e-Learning
eLearning Catalog,Catálogo de e-Learning
e-Learning Catalog,Catálogo de e-Learning
Electrical Catalog Browser,Navegador de catálogo elétrico
electronic download,download eletrônico
electronic software distribution,distribuição eletrônica de software
element property,propriedade do elemento
eligibility matrix,matriz de elegibilidade
eligibility requirement,requisito de qualificação
eligible product,produto elegível
Eligible Product List,Lista de produtos elegíveis
eligible products,produtos elegíveis
embargo,embargo
EMC Tier 5 system,EMC Tier 5 system
EMS,EMS
encryption,criptografia
end user,usuário final
end-user,usuário final
Energy Analysis,Análise de energia
energy efficiency,eficiência energética
energy generation,geração de energia
energy load,carga de energia
energy retrofit,modernização para energia
energy savings performance contract,contrato de desempenho de economia de energia
energy service company,companhia de serviços energéticos
Energy Star,Energy Star
energy use intensity,intensidade de uso de energia
eNewsletter,eNewsletter
engineer,engenheiro
engineering data,dados de engenharia
Engineering Exploration Workshop,Workshop para Exploração da Engenharia
Engineer-to-Order Adoption and Change Management Services,Serviços de adoção de engenharia por encomenda e gestão de mudanças
Engineer-to-Order Implementation and Integration Services,Serviços de implementação e integração de engenharia por encomenda
Engineer-to-Order Strategy Services,Serviços de estratégia de engenharia por encomenda
Enhanced KB,KB aprimorado
Enterprise Business Agreement,Enterprise Business Agreement
Enterprise Flex,Enterprise Flex
Enterprise Priority Support,Enterprise Priority Support
entitlement certificate,certificado de elegibilidade
environment,ambiente
environment variable,variável de ambiente
Environmental Design and Technology Curriculum,Currículo de projeto e tecnologia ambiental
environmental impact statement,estudo de impacto ambiental
environmental management system,sistema de gestão ambiental
error code,código de erro
ESCO,ESCO
ESD,ESD
ESPC,ESPC
Ethernet adapter,adaptador Ethernet
ethical behavior,comportamento ético
ETO,ETO
EUI,EUI
European Free Trade Association,Associação Europeia de Comércio Livre
Event Publisher,Event Publisher
event toolkit,métodos de incentivo à participação em eventos
Events Lookup,Busca de eventos
