source,target
non-manifold,非各式形
non-rectangular viewport,非矩形視埠
normal distribution,常態分佈
normal style,一般型式
northing,北向
NPR,NPR
nudge,微移
NURBS surface,NURBS 曲面
object,物件
object snap mode,物件鎖點模式
ObjectARX,ObjectARX
oblique angle,傾斜角度
obscured line,隱蔽線
OC,OC
octant,八分圓
odour equipment,氣味控制設備
OE,OE
OEM Make Wizard,OEM Make 精靈
Ohm,Ohm
Oil water separator,油水分離器
opacity,不透明度
OPENFROMWEBMOBILE,OPENFROMWEBMOBILE
ordinate dimension,座標式標註
ordinate dimensioning,座標式標註
organic modeling,有機建模
ortho,正交
ortho mode,正交模式
ortho-image,正交影像
outer style,外部型式
outfall,出口
over-constrain,過度約束
overlapping ring,重疊環
overlay,覆疊
overline,頂線
overlining,加頂線
override,取代
override theme,取代主題
P&ID,P&ID
pad,底座
-PAGESETUP,-PAGESETUP
panel footprint symbol,面板外形圖符號
panorama,全景
paper space,圖紙空間
parametric drawing,參數式繪製
parametric expression,參數式表示式
parcel,宗地
parent feature class,父圖徵類別
part extraction template,零件萃取樣板
part reference,零件參考
patch,補面
patch list,修補清單
patch surface,修補曲面
path array,路徑陣列
path curve,路徑曲線
pathway,路徑
pen width,筆寬
Pencil tool,鉛筆工具
performance hint,效能提示
periodic curve,週期曲線
persistent object snap,永久物件鎖點
persistent reactor,常駐反應器
photo modeling,相片塑型
photon map,光子貼圖
physical prototyping,實體原型
pickfirst set,預選集
pig launch,清管發射器
PIP,PIP
pipe,管
pipe fitting,管配件
pipe insulation,管隔熱層
planar face,平物面
plane coordinate,平面座標
planimetry,平面測量
plastic socket,塑膠接頭
plot frame,出圖框
plot stamp,出圖戳記
plot structure,出圖結構
plot style,出圖型式
PLY,PLY
point feature,點圖徵
pointer input,指標輸入
polar stretch,極座標拉伸
polar tracking,極座標追蹤
PolarSnap,PolarSnap
pole,桿
polling frequency,同步頻率
polyarc segment,多弧線段
polyface mesh,聚合面網面
polygon mesh,多邊形網面
polyline,聚合線
position finder,位置搜尋器
position point,位置點
power station,發電站
precache,預先快取
pre-cache,預先快取
precision presets manager,精確度預置管理員
pressed joint,加壓接頭
pressure zone,壓力區域
profile curve,縱斷面曲線
profile designer,輪廓設計器
progressive tooltip,漸進式工具提示
project dashboard,專案管控面板
