source,target
推送到 Autodesk Docs,Push to Autodesk Docs
PUSHTODOCSCLOSE,PUSHTODOCSCLOSE
PUSHTODOCSOPEN,PUSHTODOCSOPEN
快速標註,quick dimension
快速計算器,QuickCalc
快速原型製作,rapid prototyping
點陣化,rasterize
實景擷取,reality capture
最近使用的圖塊清單,recent blocks list
最近使用的圖塊位置,recent blocks location
復閉器,recloser
參考約束,reference constraint
參考框,reference frame
參考網格,reference grid
參考管理員,Reference Manager
參考記錄,reference record
細分,refinement
反射貼圖,reflection map
折射率,refraction index
調節器,regulator
放鬆約束,relax constraint
彩現描述表,render context
彩現預置,render preset
報告設計器,Report Designer
報告產生器,report generator
表現法字串,representation string
需求碼,request code
水庫,reservoir
限流器,restrictor
留存槽,retention tank
歸還日期,return date
REVCLOUDPROPERTIES,REVCLOUDPROPERTIES
倒轉歷程,rewind history
功能區面板,ribbon panel
豎板,riser
展開,roll open
撤回,rollback
旋轉角度,rotation angle
規則庫,rule base
取樣點,sample point
比例係數高度,scale factor height
架構,schema
線路圖元件,schematic component
三相線路圖,schematic diagram
線路圖圖徵,schematic feature
示意圖符號,schematic symbol
篩選,screening
剖面邊界,section boundary
剖面物件,section object
剖面平面,section plane
剖面視圖,section view
自交多邊形,self-intersecting polygon
化糞池,septic tank
循序搜尋,sequential search
服務點,service point
描影出圖模式,shade plot mode
ShapeManager,ShapeManager
圖紙集管理員,sheet set manager
圖紙子集,sheet subset
捷徑函數,shortcut function
停止閥,shut off valve
基地點,site point
SketchUp,SketchUp
套筒,sleeve
智慧圖塊,smart block
鎖點角度,snap angle
鎖點格線,snap grid
實體,solid
實體基本圖元,solid primitive
sortents 表格,sortents table
火花間隙,spark gap
雲形線,spline
分割點,split point
一般用途扁圓頭開口鉚釘,split rivet
SSM,SSM
標準偏差,standard deviation
「開始位置」資料夾,Start In folder
「開始」頁籤,Start tab
樁號摘要,station summary
縫合,stitch
常備工具,Stock Tool
停止條件,stop condition
跨,straddle
拉伸動作,stretch action
拉伸框,stretch frame
建築物,structure
學生版,student version
手寫筆,stylus
細分網面,subdivision mesh
細分曲面,subdivision surface
變電所,substation
供氣區域,supply zone
曲面分析,surface analysis
表面指示引線,surface indication leader
曲面法線,surface normal
掃掠路徑,sweep path
可切換,switchable
開關裝置,switchgear
迴旋,swivel
頁籤頁面,tab page
表格空間,tablespace
板展網面,tabulated mesh
推拔,taper
樣板管理員,template manager
終端,termination
輪廓地形點,Terrain Point Pro
鑲嵌,tessellation
TEXTALIGN,TEXTALIGN
鋪貼順序,tile order
鋪貼區域大小,tile size
時間伺服器,time server
時間軸線,timeline
染色,tint color
標題欄框,title block
公差,tolerance
工具選項板,tool palette
工具選項板集,tool palette set
刀具路徑,toolpath
上視圖,top view
主題,topic
拓樸,topology
圓環,torus
導覽建築操控盤,Tour Building wheel
塔,tower
追蹤方向,trace direction
追蹤功能,trace feature
TRACEBACK,TRACEBACK
TRACEFRONT,TRACEFRONT
TRACEPALETTECLOSE,TRACEPALETTECLOSE
TRACEPALETTEOPEN,TRACEPALETTEOPEN
觸控式軌跡板,trackpad
交易,transaction
變壓器,transformer
半透明度,translucency
傳送套件,transmittal package
傳送設置,transmittal setup
狀態匣,tray
處理廠,treatment plant
格子,trellis
試用版,trial version
分成三角形,triangulate
觸發器,trigger
修剪,trim
USC,UCS
約束不足,underconstrained
參考底圖,underlay
向上方向,up direction
上游,upstream
使用者座標系統,User Coordinate System
公用設施,utility
UV 空間,UV space
VERSIONCOMPARE,VERSIONCOMPARE
頂點,vertex
頂點凸度,vertex bulge
檢視物件操控盤,View Object wheel
遮板,visor
VLIDE 指令,VLIDE command
Volo View Express,Volo View Express
視點凍結,VP freeze
VPEDIT,VPEDIT
漫遊,walk
廢水,waste water
關注的資料夾,watched folder
水裝置單元,water fixture unit
浮水印編輯器,watermark editor
無縫,watertight
WCS,WCS
網光源,web light
網路地圖服務,web mapping service
歡迎畫面,welcome screen
萬用字元,wildcard
捲繞填滿,winding fill
遮蔽物件,wipeout object
線架構,wireframe
世界座標系統,World Coordinate System
世界空間,world space
XCOMPARE,XCOMPARE
XCOMPARECLOSE,XCOMPARECLOSE
XCOMPARERCNEXT,XCOMPARERCNEXT
XCOMPARERCPREV,XCOMPARERCPREV
XSL,XSL
斑馬紋分析,zebra analysis
壓縮的 KML 檔案,zipped KML file
拉近,zoom in
縮放不變體,zoom invariant
拉遠,zoom out
