source,target
계약 갱신일,contract renewal date
계약 관리,Contract Administration
계약 관리자,Contract Administrator
계약 담당자,Contract Manager
계약 수준,contract level
계약업체,contractor
계정 관리,Account Management
계획 수립 전문가,planning professional
고객 갤러리,Customer Gallery
고객 관계 관리,customer relationship management
고객 관계 팀,Client Relations Team
고객 사례,Customer Stories
고객 생애 가치,customer lifetime value
고객 성공 사례,Customer Success Stories
고객 시연,Customer Showcase
고객 조사 동의,customer research agreement
고객 참여 프로그램,Customer Involvement Program
고객 평가,Customer Reviews
고객님,Dear Customer
고객지원센터,Customer Care
고속 기계 가공,high speed machining
고압 손실 영역,high-pressure loss area
고유 진동수,natural frequency
고지/고지사항,notice
공공시설망,utility grid
공급망,supply chain
공급자,provider
공동 브랜딩,co-branding
공동 브랜딩 자산 및 양식,Co-branding Assets & Templates
공인 교육 파트너,authorized academic partner
공인 준전문가,Certified Associate
공인 파트너,authorized partner
공인협력업체 보기 권한,Reseller View Permission
공인협력업체 위치 찾기,Partner Locator
공인협력업체 정보,reseller of record
공인협력업체 찾기,Find a Reseller
공인협력업체로부터 연락 요청,Have a Reseller Contact Me
공인협력업체에 문의,Contact a Reseller
공장 레이아웃,factory layout
공통 워크스페이스,common workspace
과학 및 수학 커리큘럼,Science and Math Curriculum
"과학, 기술, 엔지니어링, 수학","science, technology, engineering and math"
관계형 데이터베이스 관리 시스템,relational database management system
관련 링크,Related Links
관련 정보,Related Information
관련 제품,Related Products
관리 도구,Administrative Tools
교사,educator
교육 공인협력업체,Education reseller
교육 기관,educational institution
교육 동영상,training video
교육 커뮤니티,Education Community
교육 커뮤니티 방문하기,Visit the Education Community
교육용 라이센스 고객,Education customer
교육용 플롯 스탬프,educational plot stamp
교직원,faculty member
구매,procurement
구매 옵션,Purchase Options
구입,Buy
구조 엔지니어,structural engineer
구조 엔지니어링,structural engineering
구조 엔지니어링을 위한 BIM 커리큘럼,BIM for Structural Engineering Curriculum
구조 폼,structural foam
규제 준수,compliance
그라데이션 해치,gradient hatch
그래픽 어댑터,graphics adapter
그래픽 처리 장치,graphics processing unit
그래픽 카드 드라이버,graphics card driver
그래픽 프로세서,graphics processor
그래픽 하드웨어,graphics hardware
그룹 해제,ungroup
근거,Proof Points
글꼴 쉐이프 파일,font shape file
글로벌 제품 출시,global product launch
글로벌 채널 공동 브랜딩 프로그램,global channel co-branding program
글로벌 채널 브랜딩 프로그램,global channel branding program
금융,financing
기간 라이센스,term license
기간 연장 가능,Term Extendable
기간 연장 불가능,Term Non-Extendable
기간 한정 행사,limited time offer
기계 엔지니어링,mechanical engineering
기능,Features
기능 매트릭스,functionality matrix
기능 모음,feature set
기능 및 데모,Features and Demonstrations
기능 및 사양,Features and Specifications
기능 및 이점,Features and Benefits
기능 비교,Feature Comparison
기능 코드,feature code
기능 탐색,Explore Features
기밀 유지,confidentiality
기반 확대,Expand the Base
기본 권장 사양,baseline recommendation
기본 기능,Baseline Features
