source,target
نص النموذج,model text
نصف قطر التقوس,fillet radius
نطاق المتوسط اليومي,mean daily range
نظام الإحداثيات العالمي,global coordinate system
نظام الإحداثيات المتوقع,projected coordinate system
نظام الحماية بشكل مسبق من الحرائق,pre-action fire protection system
نظام الدرابزين,railing system
نظام القنوات,duct system
نظام إحداثيات المستخدم,UCS
نظام تغذية الهواء,supply air system
نظام تقسيم الجدار,curtain system
نقطة PI,PI point
نقطة التقاطع الضمنية,implied point of intersection
نقطة العينة,sample point
نقطة المسح,survey point
نقطة انعكاس الانحناء,PRC
نقطة تغير الميل,grade break
نقطة تقاطع المنحنى اللولبي (SPI),SPI
نقطة هندسة المحاذاة,alignment geometry point
نماذج,forms
نمذجة إمكانية البناء,constructability modeling
نمذجة فائقة,hypermodeling
نمط التسمية,label style
نمط التعبئة,fill pattern
نمط التعزيز,reinforcement pattern
نمط المظهر,appearance style
نموذج ArchiCAD,ArchiCAD model
نموذج AutoCAD,AutoCAD model
نموذج InfraWorks,InfraWorks model
نموذج Max,Max model
نموذج التضاريس الرقمي,digital terrain model
نموذج السحابة,cloud model
نموذج الصناعة,industry model
نموذج أرضي,ground model
نموذج قيد العمل (WIP),WIP model
نوع الاتجاه,direction type
نوع حساب المواد,takeoff type
هواء العادم,exhaust air
هواء راجع,return air
وحدات الأعمال,business units
وحدة الجدار الساتر,curtain wall unit
وحدة تجهيزات المياه,WFU
وحدة ضبط ثلاثية المراحل (PID),PID
وحدة قياس تدفق المياه الباردة,cold water fixture unit
ورقة القسم,section sheet
وصلة انتقالية,transition fitting
وصلة أنبوبية متعددة الاستخدامات قابلة للتعديل,spud
وصلة مائلة,miter join
وصلة ميدانية,field splice
وصلة وفق معايير ASHRAE,ASHRAE fitting
وقت الانتقال,time of travel
وقت ممتد,free float
