source,target
配管線の勾配,plumbing fixture
配電盤,switchboard
重ね壁,stacked wall
重力パイプライン,gravity pipe
重複クラッシュ,duplicate clash
重複した部屋,redundant room
鉄筋,rebar bar
鉛直調整の方法,vertical adjustment
鋼板桁,plate girder
鋼桁,steel girder
鋼製トラス,steel truss
長さ寸法,linear dimension
長さ計算,linear takeoff
閉じたポリライン,closed polyline
開始者,initiator
間引き,weed
階,building level
階段状の基礎,step footing
隠線,hidden line
集水域,catchment
集水域の都市化度,Degree Urbanization
電力回路,power circuit
電子距離計測器,electronic distance meter
電気設備,electrical equipment
電流容量,ampacity
需要ダイアグラム,demand diagram
需要率,demand factor
静止イメージ,still image
非分割クラウン,undivided crowned
非分割片勾配,undivided planar
非指摘事項,not an issue
面分割の最大偏差,maximum facet deviation
面分割係数,faceting factor
面取り,chamfer
項目,item
項目サマリ,Item summary
高窓,clerestory
鼻隠し,roof fascia
